columna,dtype,valor
location,object,
date,object,
total_cases,float64,
new_cases,float64,
new_cases_smoothed,float64,
total_cases_per_million,float64,
new_cases_per_million,float64,
new_cases_smoothed_per_million,float64,
total_deaths,float64,
new_deaths,float64,
new_deaths_smoothed,float64,
total_deaths_per_million,float64,
new_deaths_per_million,float64,
new_deaths_smoothed_per_million,float64,
excess_mortality,float64,
excess_mortality_cumulative,float64,
excess_mortality_cumulative_absolute,float64,
excess_mortality_cumulative_per_million,float64,
hosp_patients,float64,
hosp_patients_per_million,float64,
weekly_hosp_admissions,float64,
weekly_hosp_admissions_per_million,float64,
icu_patients,float64,
icu_patients_per_million,float64,
weekly_icu_admissions,float64,
weekly_icu_admissions_per_million,float64,
stringency_index,float64,
reproduction_rate,float64,
total_tests,float64,
new_tests,float64,
total_tests_per_thousand,float64,
new_tests_per_thousand,float64,
new_tests_smoothed,float64,
new_tests_smoothed_per_thousand,float64,
positive_rate,float64,
tests_per_case,float64,
total_vaccinations,float64,
people_vaccinated,float64,
people_fully_vaccinated,float64,
total_boosters,float64,
new_vaccinations,float64,
new_vaccinations_smoothed,float64,
total_vaccinations_per_hundred,float64,
people_vaccinated_per_hundred,float64,
people_fully_vaccinated_per_hundred,float64,
total_boosters_per_hundred,float64,
new_vaccinations_smoothed_per_million,float64,
new_people_vaccinated_smoothed,float64,
new_people_vaccinated_smoothed_per_hundred,float64,
code,object,
continent,object,
population,float64,
population_density,float64,
median_age,float64,
life_expectancy,float64,
gdp_per_capita,float64,
extreme_poverty,float64,
diabetes_prevalence,float64,
handwashing_facilities,float64,
hospital_beds_per_thousand,float64,
human_development_index,float64,
new_cases_min,,0.0
new_cases_max,,8401906.0
pct_null_new_cases,,3.3069199902979185
pct_null_people_vaccinated,,84.91001701683922
fecha_min,,2020-01-01 00:00:00
fecha_max,,2025-12-31 00:00:00
